,id,name,MUC_R,MUC_P,MUC_F1,B3_R,B3_P,B3_F1,CEAFm_R,CEAFm_P,CEAFm_F1,CEAFe_R,CEAFe_P,CEAFe_F1,BLANC_R,BLANC_P,BLANC_F1,LEA_R,LEA_P,LEA_F1,CoNLL_2012
66,67,aden-042,1.0,0.9090909090909091,0.9523809523809523,1.0,0.9444444444444444,0.9714285714285714,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.8333333333333334,0.9523809523809524,0.8888888888888888,0.9963235294117647,0.9722222222222222,0.9838692672641012,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9375661375661375
67,68,aden-043,0.9,1.0,0.9473684210526315,0.875,1.0,0.9333333333333333,0.875,1.0,0.9333333333333333,0.8333333333333334,1.0,0.9090909090909091,0.8346659051970302,1.0,0.9061967994552265,0.875,1.0,0.9333333333333333,0.9299308878256246
68,69,aden-045,0.9411764705882353,1.0,0.9696969696969697,0.9206349206349206,1.0,0.9586776859504132,0.9523809523809523,1.0,0.975609756097561,0.95,0.95,0.9500000000000001,0.921677459142769,1.0,0.9585561497326203,0.9047619047619048,1.0,0.9500000000000001,0.9594582185491277
69,70,aden-046,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9132231404958678,0.9134199134199135,0.9133215163593276,0.9090909090909091,0.9523809523809523,0.9302325581395349,0.7818181818181819,0.9772727272727273,0.8686868686868687,0.8627214170692432,0.927536231884058,0.8928827665375234,0.8636363636363636,0.9047619047619048,0.8837209302325582,0.9077282852114772
70,71,aden-047,1.0,0.9166666666666666,0.9565217391304347,1.0,0.9375,0.967741935483871,0.9375,0.9375,0.9375,0.7333333333333333,0.9166666666666666,0.8148148148148148,0.9941176470588236,0.9861111111111112,0.9899991665972164,0.875,0.875,0.875,0.9130261631430402
71,72,aden-049,0.875,0.875,0.875,0.8717948717948718,0.8888888888888888,0.8802588996763754,0.8461538461538461,0.9166666666666666,0.8799999999999999,0.7333333333333333,0.9166666666666666,0.8148148148148148,0.8307692307692307,0.9230769230769231,0.8722294654498044,0.7692307692307693,0.8333333333333334,0.8,0.85669123816373
72,73,aden-051,0.9,1.0,0.9473684210526315,0.8875,1.0,0.9403973509933775,0.9375,1.0,0.967741935483871,0.9814814814814815,0.9814814814814815,0.9814814814814815,0.8289548829240434,1.0,0.9051282051282051,0.875,1.0,0.9333333333333333,0.9564157511758302
73,74,aden-052,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
74,75,aden-053,0.9,1.0,0.9473684210526315,0.9166666666666666,1.0,0.9565217391304347,0.9444444444444444,1.0,0.9714285714285714,0.9583333333333333,0.9583333333333333,0.9583333333333334,0.9117647058823529,1.0,0.9535984848484849,0.8888888888888888,0.9411764705882353,0.9142857142857143,0.9540744978387998
75,76,bossuetdiscours-001,1.0,0.9583333333333334,0.9787234042553191,1.0,0.9722222222222222,0.9859154929577464,0.9722222222222222,0.9722222222222222,0.9722222222222221,0.8974358974358974,0.9722222222222222,0.9333333333333332,0.9991349480968859,0.9905660377358491,0.9948051948051948,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9659907435154662
